#,RA,Dec,image_nb,ccd,X,Y,CaHK_uncalib,d_CaHK,flag,Xg,Yg,run,FOV_corr,CaHK_calib
250.7577625,44.54341667,2654,1,67.42,2982.94,26.676,0.019,0,1980.6,2982.9,,17Am05,,
250.87977083,44.57256944,2654,1,1770.72,2395.8,26.677,0.019,0,277.3,2395.8,,17Am05,,
250.8605125,44.56245278,2654,1,1501.07,2596.68,26.681,0.019,0,546.9,2596.7,,17Am05,,
250.77525833,44.69181944,2654,1,326.58,77.94,26.693,0.019,0,1721.4,77.9,,17Am05,,
250.75330417,44.53912222,2654,1,5.14,3067.1,26.705,0.02,0,2042.9,3067.1,,17Am05,,
250.88235833,44.48978333,2654,1,1800.92,4009.89,26.713,0.02,-1,247.1,4009.9,,17Am05,,
250.80779583,44.57641389,2654,1,766.71,2332.46,26.72,0.02,0,1281.3,2332.5,,17Am05,,
250.88268333,44.67618611,2654,1,1823.2,365.0,26.724,0.02,0,224.8,365.0,,17Am05,,
250.80644583,44.500425,2654,1,742.09,3813.48,26.725,0.02,0,1305.9,3813.5,,17Am05,,
250.81279167,44.59498333,2654,1,838.18,1969.03,26.727,0.02,0,1209.8,1969.0,,17Am05,,
250.8178375,44.54599722,2654,1,904.21,2924.4,26.727,0.02,0,1143.8,2924.4,,17Am05,,
250.87843333,44.62881111,2654,1,1758.14,1295.62,26.733,0.02,0,289.9,1295.6,,17Am05,,
250.7724625,44.67188056,2654,1,285.21,469.93,26.739,0.02,0,1762.8,469.9,,17Am05,,
250.7535,44.54307778,2654,1,8.12,2990.09,26.742,0.02,0,2039.9,2990.1,,17Am05,,
250.78883333,44.62841944,2654,1,507.89,1318.98,26.761,0.02,0,1540.1,1319.0,,17Am05,,
250.84702083,44.64684444,2654,1,1321.36,948.03,26.762,0.02,0,726.6,948.0,,17Am05,,
250.80416667,44.62701389,2654,1,721.23,1344.0,26.763,0.02,0,1326.8,1344.0,,17Am05,,
250.81764167,44.49117222,2654,1,897.28,3992.02,26.77,0.021,0,1150.7,3992.0,,17Am05,,
